gene_callers_id	chrom_start	chrom_end	COG_accession	COG_function	KO_accession	KEGG_function
2050	2360972	2361377	COG1869	D-ribose pyranose/furanose isomerase RbsD (RbsD) (PDB:1OGC)	K06726	D-ribose pyranase [EC:5.4.99.62]
2051	2361418	2362447	COG1957	Inosine-uridine nucleoside N-ribohydrolase (URH1) (PDB:1EZR)		
2052	2362480	2362693				
2053	2362771	2363164				
2054	2363325	2363637	COG4798	Predicted methyltransferase		
2055	2363708	2363921	COG1278	Cold shock protein, CspA family (CspC) (PDB:1C9O)	K03704	cold shock protein
2056	2364213	2364513				
2057	2364897	2366820	COG0441	Threonyl-tRNA synthetase (ThrS) (PDB:1NYQ)	K01868	threonyl-tRNA synthetase [EC:6.1.1.3]
2058	2366837	2367371	COG0290	Translation initiation factor IF-3 (InfC) (PDB:2IFE)	K02520	translation initiation factor IF-3
2059	2367431	2367626	COG0291	Ribosomal protein L35 (RpmI) (PDB:1VS6) (PUBMED:28373563)	K02916	large subunit ribosomal protein L35
2060	2367656	2368013	COG0292	Ribosomal protein L20 (RplT) (PDB:1VS6) (PUBMED:30270044)	K02887	large subunit ribosomal protein L20
2061	2368123	2369140	COG0016	Phenylalanyl-tRNA synthetase alpha subunit (PheS) (PDB:3L4G)	K01889	phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]
2062	2369175	2371554	COG0072!!!COG0073	Phenylalanyl-tRNA synthetase beta subunit (PheT) (PDB:3L4G)!!!tRNA-binding EMAP/Myf domain (EMAP) (PDB:1MKH)	K01890	phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]
2063	2371557	2371860	COG0776	Bacterial nucleoid DNA-binding protein IHF-alpha (HimA) (PDB:1B8Z)	K04764	integration host factor subunit alpha
2064	2371840	2372197	COG0789	DNA-binding transcriptional regulator, MerR family (SoxR) (PDB:2VZ4)		
2065	2372959	2373169				
2066	2373276	2373561				
2067	2373620	2374385	COG2932	Phage repressor protein C, contains Cro/C1-type HTH and peptisase s24 domains	K22300	HTH-type transcriptional regulator, cell division transcriptional repressor
2068	2374861	2375704	COG1876	LD-carboxypeptidase LdcB, LAS superfamily (LdcB) (PDB:4D0Y) (PUBMED:24909784)		
2069	2375814	2376366	COG1670	Protein N-acetyltransferase, RimJ/RimL family (RimL) (PDB:1S7F)	K22479, K22441	N-acetyltransferase, diamine N-acetyltransferase [EC:2.3.1.57]
2070	2376602	2377541				
2071	2377640	2377745				
2072	2377888	2378329	COG1357	Uncharacterized conserved protein YjbI, contains pentapeptide repeats (YjbI) (PDB:2BM4)	K18555	fluoroquinolone resistance protein
2073	2378329	2379247	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)		
2074	2379342	2380569	COG2814	Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)	K08224	MFS transporter, YNFM family, putative membrane transport protein
2075	2380571	2381396				
2076	2381498	2382734	COG2814	Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)	K08223	MFS transporter, FSR family, fosmidomycin resistance protein
2077	2382805	2383741	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)	K21757	LysR family transcriptional regulator, benzoate and cis,cis-muconate-responsive activator of ben and cat genes
2078	2383907	2385137	COG0436	Aspartate/methionine/tyrosine aminotransferase (AspB) (PDB:2O0R)	K00812	aspartate aminotransferase [EC:2.6.1.1]
2079	2385257	2386088				
2080	2386169	2387555	COG0114	Fumarate hydratase class II (FumC) (PDB:1KQ7)	K01679	fumarate hydratase, class II [EC:4.2.1.2]
2081	2387597	2388488	COG2513	2-Methylisocitrate lyase and related enzymes, PEP mutase family (PrpB) (PDB:1XG3)	K01841	phosphoenolpyruvate phosphomutase [EC:5.4.2.9]
2082	2388840	2390271	COG1538	Outer membrane protein TolC (TolC) (PDB:1EK9)	K18139	outer membrane protein, multidrug efflux system
2083	2390330	2391131	COG2771	DNA-binding transcriptional regulator, CsgD family (CsgD)	K20330	LuxR family transcriptional regulator, activator of tox operons
2084	2391695	2398091	COG1020	EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase (EntF) (PDB:5ES5)	K15658	arthrofactin-type cyclic lipopeptide synthetase A
2085	2398408	2411512	COG1020!!!COG3319	EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase (EntF) (PDB:5ES5)!!!Thioesterase domain of type I polyketide synthase or non-ribosomal peptide synthetase (EntF2) (PDB:5JA1)	K03367, K15659	D-alanine--poly(phosphoribitol) ligase subunit 1 [EC:6.1.1.13], arthrofactin-type cyclic lipopeptide synthetase B
2086	2411508	2426214	COG1020!!!COG3319	EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase (EntF) (PDB:5ES5)!!!Thioesterase domain of type I polyketide synthase or non-ribosomal peptide synthetase (EntF2) (PDB:5JA1)	K03367, K15660	D-alanine--poly(phosphoribitol) ligase subunit 1 [EC:6.1.1.13], arthrofactin-type cyclic lipopeptide synthetase C
2087	2426364	2427516	COG0845	Multidrug efflux pump subunit AcrA (membrane-fusion protein) (AcrA) (PDB:1T5E)	K13888, K02005	membrane fusion protein, macrolide-specific efflux system, HlyD family secretion protein
2088	2427518	2429477	COG0577!!!COG1136	ABC-type antimicrobial peptide transport system, permease component (SalY)!!!ABC-type lipoprotein export system, ATPase component (LolD) (PDB:5GKO)	K02004, K02003, K05685	putative ABC transport system permease protein, putative ABC transport system ATP-binding protein, macrolide transport system ATP-binding/permease protein [EC:7.6.2.-]
2089	2429537	2430326	COG2771	DNA-binding transcriptional regulator, CsgD family (CsgD)	K20330	LuxR family transcriptional regulator, activator of tox operons
2090	2434625	2435039	COG2764	Zn-dependent glyoxalase, PhnB family (PhnB) (PDB:5KEF) (PUBMED:28034013)	K04750	PhnB protein
2091	2435214	2436681	COG0535	Radical SAM superfamily maturase, SkfB/NifB/PqqE family (SkfB) (PDB:6Q2P) (PUBMED:23282011)		
2092	2436813	2437422				
2093	2437473	2438109				
2094	2438145	2438334				
2095	2438651	2439281	COG1011	FMN and 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB, HAD superfamily (riboflavin biosynthesis) (YigB) (PDB:4JB3) (PUBMED:24123841)		
2096	2439444	2439651				
2097	2439746	2439932				
2098	2440026	2440551				
2099	2440601	2441204				
2100	2441254	2441668				
2101	2441788	2443561	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)	K20035	3-(methylsulfanyl)propanoyl-CoA dehydrogenase [EC:1.3.99.41]
2102	2443757	2445380	COG0318	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming) (MenE/FadK) (PDB:5EY9) (PUBMED:25151136;27455459)	K20034	3-(methylthio)propionyl---CoA ligase [EC:6.2.1.44]
2103	2445690	2447592	COG2202!!!COG4191	PAS domain (PAS) (PDB:2MWG)!!!Signal transduction histidine kinase regulating C4-dicarboxylate transport system (PDB:4GCZ)	K14986	two-component system, LuxR family, sensor kinase FixL [EC:2.7.13.3]
2104	2447588	2448224	COG4566	DNA-binding response regulator, FixJ family, consists of REC and HTH domains (FixJ) (PDB:1YIO)	K14987	two-component system, LuxR family, response regulator FixJ
2105	2448227	2448872	COG1309	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)		
2106	2448816	2449668	COG1250	3-hydroxyacyl-CoA dehydrogenase (FadB) (PDB:5ZQZ)	K00074	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
2107	2449839	2450856	COG2207	AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0)		
2108	2451040	2452909	COG3284	Transcriptional regulator DhaR of acetoin/glycerol metabolism (AcoR) (PDB:4LRX)	K21405	sigma-54 dependent transcriptional regulator, acetoin dehydrogenase operon transcriptional activator AcoR
2109	2453264	2454365	COG3199	NAD kinase		
2110	2454342	2455320	COG1071	TPP-dependent pyruvate or acetoin dehydrogenase subunit alpha (AcoA) (PDB:1DTW)	K21416	acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha [EC:1.1.1.-]
2111	2455350	2456364	COG0022	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit (AcoB) (PDB:2OZL)	K21417	acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta [EC:1.1.1.-]
2112	2456363	2457476	COG0508!!!COG0596	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component (AceF) (PDB:1B5S)!!!2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold (MenH) (PDB:4MYS)	K01055	3-oxoadipate enol-lactonase [EC:3.1.1.24]
2113	2457534	2458638	COG1063	Threonine dehydrogenase or related Zn-dependent dehydrogenase (Tdh) (PDB:4A2C)	K00004	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]
2114	2458780	2459506				
2115	2459606	2460893	COG0477	MFS family permease, includes anhydromuropeptide permease AmpG (ProP) (PUBMED:12426329)	K03762	MFS transporter, MHS family, proline/betaine transporter
2116	2460968	2462348	COG0624	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase (ArgE) (PDB:1CG2)		
2117	2462465	2463350	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)		
2118	2463428	2463542				
2119	2463565	2463922				
2120	2464189	2464621				
2121	2464841	2465198				
2122	2465716	2467342	COG0840	Methyl-accepting chemotaxis protein (MCP) (Tar) (PDB:1QU7)	K03406	methyl-accepting chemotaxis protein
2123	2469155	2469854	COG0431	NAD(P)H-dependent FMN reductase (SsuE) (PDB:6DQI)	K11811	arsenical resistance protein ArsH
2124	2469863	2470334	COG0394	Protein-tyrosine-phosphatase (Wzb) (PDB:4D74) (PUBMED:26641313)	K03741	arsenate reductase (thioredoxin) [EC:1.20.4.4]
2125	2470362	2471646	COG1055	Na+/H+ antiporter NhaD or related arsenite permease (ArsB)	K03893	arsenical pump membrane protein
2126	2471666	2472014	COG0640	DNA-binding transcriptional regulator, ArsR family (ArsR) (PDB:3F6V)	K03892	ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor
2127	2472244	2472790				
2128	2473034	2473466	COG2128	Alkylhydroperoxidase family enzyme, contains CxxC motif (YciW) (PDB:1GU9)		
2129	2473494	2474115	COG1182	FMN-dependent NADH-azoreductase (AzoR) (PDB:1TIK)	K01118	FMN-dependent NADH-azoreductase [EC:1.7.1.17]
2130	2474111	2474558	COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases (RimI) (PDB:1GHE)		
2131	2474645	2476049	COG1167	DNA-binding transcriptional regulator, MocR family, contains an aminotransferase domain (ARO8) (PDB:2R2N)	K00375	GntR family transcriptional regulator / MocR family aminotransferase
2132	2486145	2486427				
2133	2491284	2492085	COG1126	ABC-type polar amino acid transport system, ATPase component (GlnQ) (PDB:4YMS)	K02028	polar amino acid transport system ATP-binding protein [EC:7.4.2.1]
2134	2492101	2493343	COG0665	Glycine/D-amino acid oxidase (deaminating) (DadA) (PDB:3AWI)	K26064	D-lysine oxidase
2135	2493389	2494100	COG4160	ABC-type arginine/histidine transport system, permease component (ArtM)	K02029	polar amino acid transport system permease protein
2136	2494096	2494816	COG4215	ABC-type arginine transport system, permease component (ArtQ)	K02029	polar amino acid transport system permease protein
2137	2494902	2495655	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG)	K02030	polar amino acid transport system substrate-binding protein
2138	2495671	2496547	COG1737	DNA-binding transcriptional regulator, MurR/RpiR family, contains HTH and SIS domains (RpiR) (PDB:2O3F)		
2139	2496678	2497725	COG2055	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family (AllD) (PDB:1NXU)	K13609	delta1-piperideine-2-carboxylate reductase [EC:1.5.1.21]
2140	2497933	2499118	COG3203	Outer membrane porin OmpC/OmpF/PhoE (OmpC) (PDB:1PHO)		
2141	2499380	2500544	COG3287	FIST domain protein MJ1623, contains FIST_N and FIST_C domains (FIST) (PUBMED:17855421)		
2142	2500512	2503134	COG2202!!!COG2205	PAS domain (PAS) (PDB:2MWG)!!!K+-sensing histidine kinase KdpD (KdpD) (PDB:2KSF)	K20975	two-component system, sensor histidine kinase [EC:2.7.13.3]
2143	2503219	2503885	COG2197	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains (CitB) (PDB:1A04)	K07684	two-component system, NarL family, nitrate/nitrite response regulator NarL
2144	2503939	2504482	COG0607	Rhodanese-related sulfurtransferase (PspE) (PDB:1TQ1)		
2145	2504714	2505506	COG0842	ABC-type multidrug transport system, permease component (YadH)	K01992	ABC-2 type transport system permease protein
2146	2505502	2506261	COG1131	ABC-type multidrug transport system, ATPase component (CcmA) (PDB:5DO7)		
2147	2506257	2507232	COG3391	DNA-binding beta-propeller fold protein YncE (YncE) (PDB:3VGZ) (PUBMED:22120742;28628661)		
2148	2507262	2508447	COG0683	ABC-type branched-chain amino acid transport system, periplasmic component (LivK) (PDB:1USG)		
2149	2508727	2509999	COG4585	Signal transduction histidine kinase ComP (ComP) (PDB:4GT8)	K07675	two-component system, NarL family, sensor histidine kinase UhpB [EC:2.7.13.3]
2150	2509998	2510637	COG2197	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains (CitB) (PDB:1A04)		
2151	2510679	2510916	COG3609	Transcriptional regulator, contains Arc/MetJ-type RHH (ribbon-helix-helix) DNA-binding domain (ParD) (PDB:3KXE)	K07746	antitoxin ParD1/3/4
2152	2510897	2511194				
2153	2512058	2512718	COG1357	Uncharacterized conserved protein YjbI, contains pentapeptide repeats (YjbI) (PDB:2BM4)	K21919	BTB/POZ domain-containing protein KCTD9
2154	2512796	2514692	COG4993	Glucose dehydrogenase, PQQ-dependent (Gcd) (PDB:1FLG)	K00114	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
2155	2514945	2515407	COG2010	Cytochrome c, mono- and diheme variants (CccA) (PDB:1A2S)		
2156	2515412	2516288	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG)	K02030	polar amino acid transport system substrate-binding protein
2157	2516296	2517061	COG5501	Sulfur oxidation protein SoxY (SoxY) (PDB:2NNC) (PUBMED:17327392)	K17226	sulfur-oxidizing protein SoxY
2158	2517096	2518026	COG0491	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II (GloB) (PDB:1QH3) (PUBMED:25670698)	K05555	cyclase [EC:4.-.-.-]
2159	2518034	2518241				
2160	2518258	2520034	COG4993	Glucose dehydrogenase, PQQ-dependent (Gcd) (PDB:1FLG)	K00114	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
2161	2520229	2521750	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase (AdhE) (PDB:1A4S)	K00138	aldehyde dehydrogenase [EC:1.2.1.-]
2162	2521815	2522097			K06135	pyrroloquinoline quinone biosynthesis protein A
2163	2522158	2523073	COG1235	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase (PhnP) (PDB:6B9V)	K06136	pyrroloquinoline quinone biosynthesis protein B
2164	2523620	2524784	COG1454	Alcohol dehydrogenase, class IV (EutG) (PDB:6AHC)	K19954	alcohol dehydrogenase [EC:1.1.1.-]
2165	2524767	2526495	COG0642!!!COG0784!!!COG2202	Signal transduction histidine kinase (BaeS) (PDB:1JOY)!!!CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)!!!PAS domain (PAS) (PDB:2MWG)	K20975	two-component system, sensor histidine kinase [EC:2.7.13.3]
2166	2526539	2527088	COG2976	Putative negative regulator of RcsB-dependent stress response, UPF0070 family (YfgM) (PUBMED:23091052)		
2167	2527252	2527921	COG1136	ABC-type lipoprotein export system, ATPase component (LolD) (PDB:5GKO)	K02003	putative ABC transport system ATP-binding protein
2168	2527922	2530403	COG4591	ABC-type transport system involved in lipoprotein release, permease component LolC (LolE) (PDB:6F49)	K02004	putative ABC transport system permease protein
2169	2530392	2531478	COG5621	Predicted lipocalin, contains AttH/CrtC domain (CrtC) (PDB:2ICH) (PUBMED:20944205)		
2170	2531584	2532175				
2171	2532444	2532831				
2172	2533016	2533382				
2173	2533394	2534816	COG0277	FAD/FMN-containing lactate dehydrogenase/glycolate oxidase (GlcD) (PDB:1AHU)	K16653	decaprenylphospho-beta-D-ribofuranose 2-oxidase [EC:1.1.98.3]
2174	2534956	2536351	COG5383	Uncharacterized metalloenzyme YdcJ, glyoxalase superfamily (YdcJ) (PDB:2RJB)	K25986	2-oxoadipate dioxygenase/decarboxylase [EC:1.13.11.93]
2175	2536486	2537413	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold (MenH) (PDB:4MYS)		
2176	2537649	2538732	COG2199	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)	K18968	diguanylate cyclase [EC:2.7.7.65]
2177	2538828	2539746	COG0614	ABC-type Fe3+-hydroxamate transport system, periplasmic component (FepB) (PDB:1ESZ)	K02016	iron complex transport system substrate-binding protein
2178	2539738	2540491	COG3411	2Fe-2S ferredoxin (PDB:1M2D) (PUBMED:24421039)		
2179	2540502	2542482	COG4206	Outer membrane cobalamin receptor protein BtuB (BtuB) (PDB:1NQE)	K02014	iron complex outermembrane recepter protein
2180	2542468	2542921				
2181	2543000	2544074	COG3138	Arginine/ornithine N-succinyltransferase beta subunit (AstA) (PDB:1YLE)	K00673	arginine N-succinyltransferase [EC:2.3.1.109]
2182	2544123	2545140	COG3138	Arginine/ornithine N-succinyltransferase beta subunit (AstA) (PDB:1YLE)	K00673	arginine N-succinyltransferase [EC:2.3.1.109]
2183	2545312	2546662	COG0531	Serine transporter YbeC, amino acid:H+ symporter family (PotE) (PDB:3LRB)	K14052	putrescine importer
2184	2546877	2547630	COG3931	Predicted N-formylglutamate amidohydrolase (HutG2) (PDB:2ODF)		
2185	2547613	2548969	COG0174	Glutamine synthetase (GlnA) (PDB:1F1H)	K01915	glutamine synthetase [EC:6.3.1.2]
2186	2548965	2549610	COG1335	Nicotinamidase-related amidase (PncA) (PDB:1ILW)		
2187	2549612	2550467	COG1737	DNA-binding transcriptional regulator, MurR/RpiR family, contains HTH and SIS domains (RpiR) (PDB:2O3F)		
2188	2550821	2551397	COG0406	Broad specificity phosphatase PhoE (PhoE) (PDB:1EBB)		
2189	2551588	2552350	COG2243	Precorrin-2 methylase (CobF) (PDB:2QBU)	K02228	precorrin-6A synthase [EC:2.1.1.152]
2190	2552395	2553385	COG4977	Transcriptional regulator GlxA, contains an amidase domain and an AraC-type DNA-binding HTH domain (GlxA)	K13633	AraC family transcriptional regulator, transcriptional activator FtrA
2191	2553488	2553923	COG0607	Rhodanese-related sulfurtransferase (PspE) (PDB:1TQ1)		
2192	2554197	2554977	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG)	K02030, K10022	polar amino acid transport system substrate-binding protein, arginine/ornithine transport system substrate-binding protein
2193	2555080	2556193	COG3608	Predicted deacylase (PDB:3CDX)	K06987	uncharacterized protein
2194	2556311	2556686				
2195	2556748	2557465	COG0400	Predicted esterase (YpfH)	K06999	phospholipase/carboxylesterase
2196	2557478	2558057	COG5435	Uncharacterized conserved protein (PDB:1TU1)		
2197	2558211	2558997				
2198	2559420	2559981	COG0302	GTP cyclohydrolase I (FolE) (PDB:1A8R) (PUBMED:19767425;30692671)	K01495	GTP cyclohydrolase IA [EC:3.5.4.16]
2199	2559981	2560509				
2200	2560533	2561061				
2201	2561079	2561589	COG3011	Predicted thiol-disulfide oxidoreductase YuxK, DCC family (YuxK) (PUBMED:15236740)		
2202	2561692	2563012	COG1914	Mn2+ or Fe2+ transporter, NRAMP family (MntH) (PDB:5KTE)	K03322	manganese transport protein
2203	2563086	2564031	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)		
2204	2564144	2564648	COG3238	Uncharacterized membrane protein YdcZ, DUF606 family (ydcZ)	K09936	bacterial/archaeal transporter family-2 protein
2205	2564650	2565103	COG3238	Uncharacterized membrane protein YdcZ, DUF606 family (ydcZ)	K09936	bacterial/archaeal transporter family-2 protein
